code,prob,close,date,name
688072,0.04583382927676364,684.13,2026-08-24,拓荆科技
601229,0.045592720276720004,9.87,2026-08-24,上海银行
300803,0.04437817162436221,80.26,2026-08-24,指南针
600438,0.04111784553767961,12.12,2026-08-24,通威股份
002074,0.04038738810894709,27.17,2026-08-24,国轩高科
002311,0.03773983238578608,46.3,2026-08-24,海大集团
000166,0.03573580020899209,4.44,2026-08-24,申万宏源
002714,0.03508995981559033,38.83,2026-08-24,牧原股份
601186,0.034707165613396526,6.03,2026-08-24,中国铁建
601360,0.03422142168401481,8.57,2026-08-24,三六零
600085,0.03298352630747718,23.78,2026-08-24,同仁堂
300866,0.03248436355233931,115.43,2026-08-24,安克创新
300059,0.03229464230088154,18.92,2026-08-24,东方财富
601818,0.030996236661651733,3.07,2026-08-24,光大银行
601169,0.0309805418251944,5.17,2026-08-24,北京银行
002304,0.02633317204593725,39.05,2026-08-24,洋河股份
600585,0.02519273928155366,17.57,2026-08-24,海螺水泥
601238,0.024653483458810323,5.12,2026-08-24,广汽集团
601009,0.022844571157391493,11.78,2026-08-24,南京银行
300015,0.022453253608101773,8.34,2026-08-24,爱尔眼科
002142,0.020026924368129452,33.9,2026-08-24,宁波银行
000858,0.0197070241486334,71.48,2026-08-24,五 粮 液
600930,0.01942360384377411,3.96,2026-08-24,华电新能
300760,0.01867818365230674,158.68,2026-08-24,迈瑞医疗
000807,0.01799021852994499,26.29,2026-08-24,云铝股份
601916,0.017920891752633557,2.95,2026-08-24,浙商银行
600016,0.01771907619430126,3.51,2026-08-24,民生银行
601888,0.0173268840801701,52.06,2026-08-24,中国中免
688472,0.01723994932919166,10.25,2026-08-24,阿特斯
601456,0.016943479205091837,8.74,2026-08-24,国联民生
000708,0.016463655666969276,13.94,2026-08-24,中信特钢
601166,0.015549904767577056,18.28,2026-08-24,兴业银行
601688,0.009754403163727369,18.64,2026-08-24,华泰证券
000596,0.009245388450398361,90.65,2026-08-24,古井贡酒
600958,0.008347131996977388,8.93,2026-08-24,东方证券
601319,0.006374133406964438,7.04,2026-08-24,中国人保
601127,0.003202163950436111,49.75,2026-08-24,赛力斯
600104,0.0020742277722877716,10.19,2026-08-24,上汽集团
