code,date,close,prob,prob_std,name,group
600930,2026-08-26,4.0,0.35209779370334715,0.03558470010498934,华电新能,hold
600183,2026-08-26,130.01,0.35073237467551405,0.04503545509528285,生益科技,hold
300896,2026-08-26,93.84,0.3489132675389887,0.03295705189290352,爱美客,hold
688223,2026-08-26,4.4,0.34682790848987166,0.04854780664818838,晶科能源,hold
000977,2026-08-26,73.79,0.34646758186265914,0.03452908381227261,浪潮信息,hold
601988,2026-08-26,6.2,0.3458471255122074,0.030712979450187455,中国银行,hold
601229,2026-08-26,9.72,0.3453141151027767,0.02218430583023491,上海银行,hold
002558,2026-08-26,26.58,0.3444810664706726,0.02609383327192075,巨人网络,hold
600893,2026-08-26,36.7,0.3428766633169314,0.02453052187326311,航发动力,hold
600958,2026-08-26,9.13,0.34148160720487375,0.04013453521046442,东方证券,hold
300418,2026-08-26,39.7,0.3403389705537648,0.049687879700161315,昆仑万维,hold
300274,2026-08-26,112.62,0.34018847267148583,0.07203327645922218,阳光电源,hold
000807,2026-08-26,26.35,0.3394052030840263,0.03555708358125824,云铝股份,hold
600176,2026-08-26,39.5,0.333422788825799,0.05473329068701585,中国巨石,hold
002709,2026-08-26,36.78,0.3326959980994714,0.06593540295968119,天赐材料,hold
300408,2026-08-26,108.69,0.33198497798594745,0.03547135646377986,三环集团,hold
603893,2026-08-26,176.18,0.3315581958807491,0.033583701371637305,瑞芯微,hold
600522,2026-08-26,33.41,0.33050456949119694,0.03676911180686828,中天科技,hold
600926,2026-08-26,16.8,0.33033797928935227,0.042819558308173,杭州银行,hold
300450,2026-08-26,33.6,0.3302408768023403,0.0517428929695704,先导智能,hold
301269,2026-08-26,94.3,0.32948161687317246,0.042664693553131086,华大九天,hold
688521,2026-08-26,180.5,0.3293604509534513,0.05679288024195719,芯原股份,hold
600115,2026-08-26,3.6,0.3286750435470537,0.04320032073437682,中国东航,hold
002230,2026-08-26,39.66,0.3278195484092065,0.012692571754532839,科大讯飞,hold
688082,2026-08-26,294.5,0.3256159053943932,0.05195314821323064,盛美上海,hold
603288,2026-08-26,35.93,0.3233875180466277,0.035363976254531124,海天味业,hold
603260,2026-08-26,33.79,0.3221522756329745,0.037078714517145,合盛硅业,hold
301236,2026-08-26,36.93,0.3216116708946238,0.038339007845268946,软通动力,hold
688981,2026-08-26,124.15,0.31911588745165703,0.04356179074314968,中芯国际,hold
600048,2026-08-26,5.26,0.31788333082982506,0.047615830562530465,保利发展,hold
600570,2026-08-26,21.61,0.3169104181635714,0.04606288401755854,恒生电子,hold
000002,2026-08-26,3.13,0.31476101067151446,0.024005731555860842,万科A,hold
601939,2026-08-26,10.67,0.31374320123833893,0.0355799294843004,建设银行,hold
688472,2026-08-26,10.25,0.3116222062122101,0.06010835154243518,阿特斯,hold
600941,2026-08-26,98.45,0.31020613724737334,0.048776243444198904,中国移动,hold
002648,2026-08-26,26.36,0.30962996584296515,0.015696822257461964,卫星化学,hold
300442,2026-08-26,62.33,0.3072423178621944,0.04039324445968144,润泽科技,hold
600585,2026-08-26,17.88,0.30654936363193414,0.05773788943204179,海螺水泥,hold
002050,2026-08-26,36.14,0.3063138945054549,0.023529791416998354,三花智控,Q1_avoid
002460,2026-08-26,53.5,0.3055051665489323,0.03508632227482891,赣锋锂业,Q1_avoid
000063,2026-08-26,33.54,0.3021499716924758,0.051795519327267656,中兴通讯,Q1_avoid
688303,2026-08-26,17.61,0.30123959290356134,0.03190650664215404,大全能源,Q1_avoid
601288,2026-08-26,6.86,0.3009285251491969,0.03136752292716158,农业银行,Q1_avoid
000938,2026-08-26,34.9,0.3004589083160813,0.036565089854577355,紫光股份,Q1_avoid
600010,2026-08-26,2.26,0.298728236552905,0.025133230020029956,包钢股份,Q1_avoid
000651,2026-08-26,41.58,0.2980783003056856,0.05476896601818224,格力电器,Q1_avoid
600845,2026-08-26,17.45,0.2970998853122992,0.0462697578462106,宝信软件,Q1_avoid
601766,2026-08-26,6.18,0.29674903184773466,0.05099590990255995,中国中车,Q1_avoid
300661,2026-08-26,113.51,0.2966345979996273,0.015313158525234662,圣邦股份,Q1_avoid
600436,2026-08-26,127.4,0.29582933945177686,0.017161905010956626,片仔癀,Q1_avoid
000725,2026-08-26,5.72,0.29307552478979054,0.022471640384692713,京东方A,Q1_avoid
688072,2026-08-26,675.06,0.2915585204707057,0.043526245339650285,拓荆科技,Q1_avoid
600219,2026-08-26,4.83,0.2909128652348801,0.037726436230915004,南山铝业,Q1_avoid
000657,2026-08-26,63.01,0.28918860161373494,0.01920392516429358,中钨高新,Q1_avoid
688126,2026-08-26,24.25,0.28843846292062525,0.035221213293296486,沪硅产业,Q1_avoid
300433,2026-08-26,39.02,0.28838916524874947,0.03559564951645082,蓝思科技,Q1_avoid
601698,2026-08-26,24.11,0.2854739303894855,0.05585124570996664,中国卫通,Q1_avoid
002714,2026-08-26,39.99,0.28269857146675703,0.03322130665934305,牧原股份,Q1_avoid
688012,2026-08-26,368.05,0.28138152076260237,0.03527791776610432,中微公司,Q1_avoid
300760,2026-08-26,161.05,0.28017717661862707,0.03597503736709009,迈瑞医疗,Q1_avoid
